"education","willingness_to_pay","count","percentage"
"Other","Not more than Rs. 500",3,75
"Other","Rs. 500 - 1000",1,25
"High school","More than Rs. 5000",2,5.41
"High school","Not more than Rs. 500",15,40.54
"High school","Rs. 1000-2500",7,18.92
"High school","Rs. 2500-5000",1,2.7
"High school","Rs. 500 - 1000",12,32.43
"College","Not more than Rs. 500",24,51.06
"College","Rs. 1000-2500",5,10.64
"College","Rs. 2500-5000",2,4.26
"College","Rs. 500 - 1000",16,34.04
"Undergraduate","More than Rs. 5000",3,2.34
"Undergraduate","Not more than Rs. 500",48,37.5
"Undergraduate","Rs. 1000-2500",28,21.88
"Undergraduate","Rs. 2500-5000",11,8.59
"Undergraduate","Rs. 500 - 1000",38,29.69
"Post-Graduate","More than Rs. 5000",1,3.57
"Post-Graduate","Not more than Rs. 500",10,35.71
"Post-Graduate","Rs. 1000-2500",7,25
"Post-Graduate","Rs. 2500-5000",3,10.71
"Post-Graduate","Rs. 500 - 1000",7,25
