"online_service_challenges","count","percentage"
"Absence of ambience of a gym/studio and fellow members in online mode",116,22.18
"I don’t think online training is effective",112,21.41
"I don't want to invest in buying any accessories at home",106,20.27
"Instant feedback is very important to me which I think online delivery wellness/fitness services lack",93,17.78
"I don't have access to right kind of space to practice regularly",87,16.63
"2.0",1,0.19
"Currently outdoor preferred",1,0.19
"For me walking is better",1,0.19
"Group n frnds  can help you for motivation",1,0.19
"I have already tried online wellness and fitness service",1,0.19
"I think it's effective. There are very good free courses on YouTube. I do yoga following a teacher on YouTube. I don't see why I should pay for an online course when it's freely available and is of good quality. I'm willing to consider paying for an offline experience though. Just that there is not enough motivation or time for considering that actively.",1,0.19
"Online Fitness Apps are very good if well structured. Like I use Home Workout App and it's good.",1,0.19
"and I faced no challenge. I was able to push myself and be was regularly attending it",1,0.19
"than attending offline classes.",1,0.19
